step,total,pde,ic,bc,bc_left,bc_right,bc_left_rmse,bc_right_rmse,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_bc_left,val_bc_right,val_bc_left_rmse,val_bc_right_rmse,val_data,val_rmse_data,gen_gap_rmse_data
1,2.0313186645507812,0.015324553474783897,0.0815431997179985,1.4797431230545044,0.0,1.4797431230545044,0.0,1.216446876525879,0.0,0.45470765233039856,0.6743201408310436,18.840016793038274,0.1249992847442627,0.5580654144287109,0.01349508948624134,0.05176381766796112,0.37752029299736023,0.0,0.37752029299736023,0.0,0.6144267916679382,0.11528626084327698,0.33953830541380303,-0.3347818354172406
2,1.2167060375213623,0.015369147062301636,0.039858628064394,0.9008592963218689,0.0,0.9008592963218689,0.0,0.9491360783576965,0.0,0.26061898469924927,0.5105085549716569,12.41557846172481,0.3619983196258545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.7621747851371765,0.01732245273888111,0.05153284966945648,0.5257810354232788,0.0,0.5257810354232788,0.0,0.7251076102256775,0.0,0.16753844916820526,0.4093146090334491,7.074917022522203,0.5019984245300293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.5532395839691162,0.020224889740347862,0.10066738724708557,0.3280579447746277,0.0,0.3280579447746277,0.0,0.5727634429931641,0.0,0.10428936779499054,0.32293864400995825,3.6474833544361727,0.638995885848999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.522165060043335,0.02257750928401947,0.1624094545841217,0.2548303008079529,0.0,0.2548303008079529,0.0,0.50480717420578,0.0,0.08234784007072449,0.286963133643896,4.643123547246503,0.756995439529419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.5585375428199768,0.023572146892547607,0.21207469701766968,0.23980773985385895,0.0,0.23980773985385895,0.0,0.48970168828964233,0.0,0.08308298885822296,0.2882411990993358,6.610878276680439,0.8779945373535156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.5706528425216675,0.02307882159948349,0.23637379705905914,0.2338189035654068,0.0,0.2338189035654068,0.0,0.48354825377464294,0.0,0.07738129794597626,0.27817494126174674,7.5225348557432685,1.0109937191009521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.5440245866775513,0.02125127613544464,0.23504945635795593,0.2177961766719818,0.0,0.2177961766719818,0.0,0.4666863679885864,0.0,0.0699276402592659,0.2644383486925939,7.366016725553132,1.1599931716918945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.4923337697982788,0.018435776233673096,0.21510961651802063,0.19380880892276764,0.0,0.19380880892276764,0.0,0.44023722410202026,0.0,0.06497954577207565,0.2549108584820891,6.522328648852501,1.3009920120239258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.42802518606185913,0.015088450163602829,0.1852334886789322,0.1720803678035736,0.0,0.1720803678035736,0.0,0.4148257076740265,0.0,0.05562286451458931,0.2358450010379472,5.119444034735581,1.4209914207458496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
