step,total,pde,ic,bc,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_data,val_rmse_data,gen_gap_rmse_data
1,3.310915946960449,0.007792114745825529,0.4977901875972748,1.6547752618789673,0.0,1.1505584716796875,1.0726408866343327,39.4067484596886,0.26699066162109375,1.358808994293213,0.004863023292273283,0.05659240111708641,1.175963044166565,0.12139053642749786,0.3484114470385522,-0.7242294395957805
2,1.4752181768417358,0.0048350864090025425,0.05659240111708641,1.1348191499710083,0.0,0.27897152304649353,0.5281775487906444,9.696207401922496,0.7482924461364746,nan,nan,nan,nan,nan,nan,nan
3,1.5837674140930176,0.003514358540996909,0.244951069355011,1.2204465866088867,0.0,0.11485545337200165,0.3389033097684377,17.072725461518363,1.008284330368042,nan,nan,nan,nan,nan,nan,nan
4,1.8798223733901978,0.004050596617162228,0.4225880801677704,1.297422170639038,0.0,0.15576161444187164,0.3946664597376773,24.737369184059244,1.2552759647369385,nan,nan,nan,nan,nan,nan,nan
5,1.6605799198150635,0.005560257006436586,0.36159926652908325,1.1684895753860474,0.0,0.12493084371089935,0.3534555753003471,21.77269175350302,1.5022673606872559,nan,nan,nan,nan,nan,nan,nan
