step,total,pde,ic,bc,bc_left,bc_right,bc_left_rmse,bc_right_rmse,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_bc_left,val_bc_right,val_bc_left_rmse,val_bc_right_rmse,val_data,val_rmse_data,gen_gap_rmse_data
1,1.8348228931427002,0.014543995261192322,0.054824888706207275,1.3373503684997559,0.0,1.3373503684997559,0.0,1.1564387083053589,0.0,0.42810365557670593,0.6542963056419514,20.621853821282162,0.21800804138183594,0.8369302153587341,0.022530704736709595,0.07210303097963333,0.573646605014801,0.0,0.573646605014801,0.0,0.7573946118354797,0.1686498373746872,0.4106699859676711,-0.24362631967428028
2,0.7901358604431152,0.015240861102938652,0.032823093235492706,0.5617562532424927,0.0,0.5617562532424927,0.0,0.749504029750824,0.0,0.18031564354896545,0.4246358952667161,10.693894679170882,0.7470307350158691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.39651528000831604,0.01855173148214817,0.1138191744685173,0.19867490231990814,0.0,0.19867490231990814,0.0,0.44572964310646057,0.0,0.06546947360038757,0.25587003263451463,2.303918664733681,0.9630396366119385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.4575921297073364,0.01973629556596279,0.24365636706352234,0.14325928688049316,0.0,0.14325928688049316,0.0,0.37849608063697815,0.0,0.05094018578529358,0.22569932606300264,5.4509841391134675,1.18104887008667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.6367136240005493,0.016441980376839638,0.3437562584877014,0.20501470565795898,0.0,0.20501470565795898,0.0,0.4527854919433594,0.0,0.07150065898895264,0.2673960713790549,9.179498780734296,1.409475564956665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.7085233926773071,0.011297963559627533,0.37381401658058167,0.2376016527414322,0.0,0.2376016527414322,0.0,0.4874440133571625,0.0,0.08580976724624634,0.2929330422575206,10.218497086606355,1.6194853782653809,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.6434181332588196,0.006865682080388069,0.3440289795398712,0.21415358781814575,0.0,0.21415358781814575,0.0,0.4627673029899597,0.0,0.07836990058422089,0.27994624588342115,9.378195205477674,1.833975076675415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.5116898417472839,0.004394634626805782,0.28044480085372925,0.16552431881427765,0.0,0.16552431881427765,0.0,0.4068467915058136,0.0,0.061326105147600174,0.2476410813003371,7.283139011983124,2.037001371383667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.38373813033103943,0.004200464114546776,0.20686648786067963,0.12814411520957947,0.0,0.12814411520957947,0.0,0.35797223448753357,0.0,0.044527072459459305,0.2110143892237193,4.617979669493206,2.23300838470459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.30950140953063965,0.0058228145353496075,0.139804407954216,0.12370780110359192,0.0,0.12370780110359192,0.0,0.3517211973667145,0.0,0.04016636312007904,0.20041547624891407,1.9705924812857163,2.4250171184539795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.29616838693618774,0.008167330175638199,0.08800807595252991,0.15438465774059296,0.0,0.15438465774059296,0.0,0.3929181396961212,0.0,0.04560834914445877,0.21356111337146277,1.352538805517424,2.633026123046875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.3245822787284851,0.009927935898303986,0.05360126495361328,0.20552198588848114,0.0,0.20552198588848114,0.0,0.45334532856941223,0.0,0.05553107336163521,0.23565032009661097,3.2576841512281636,2.89003586769104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
