stage,step,train_total,train_pde,train_ic,train_bc,train_data,val_total,val_pde,val_ic,val_bc,val_data,val_rmse
adam,1,1.8319164514541626,0.0,0.5964460968971252,0.9279976487159729,0.30747273564338684,2.07019305229187,0.0,0.5644510984420776,1.0993318557739258,0.40641000866889954,0.6375029479687914
adam,10,1.4389547109603882,0.0,0.34282660484313965,0.9279976487159729,0.168130561709404,1.6558518409729004,0.0,0.31961488723754883,1.0993318557739258,0.23690514266490936,0.4867290238571246
adam,20,1.1821011304855347,0.0,0.15618063509464264,0.9279976487159729,0.09792278707027435,1.3782706260681152,0.0,0.14287441968917847,1.0993318557739258,0.1360642910003662,0.36886893471850707
adam,30,1.0816140174865723,0.0,0.05993445962667465,0.9279976487159729,0.0936819463968277,1.2597140073776245,0.0,0.054182056337594986,1.0993318557739258,0.10620011389255524,0.3258835894802855
adam,40,1.0647387504577637,0.0,0.02309141866862774,0.9279976487159729,0.11364962160587311,1.229137897491455,0.0,0.021323848515748978,1.0993318557739258,0.10848219692707062,0.32936635670188086
adam,50,1.067374587059021,0.0,0.01360387448221445,0.9279976487159729,0.12577307224273682,1.2255460023880005,0.0,0.013375519774854183,1.0993318557739258,0.11283867061138153,0.3359146775765857
adam,60,1.0668848752975464,0.0,0.014443209394812584,0.9279976487159729,0.12444400042295456,1.2259665727615356,0.0,0.014809878543019295,1.0993318557739258,0.11182486265897751,0.3344022467911624
adam,70,1.0651811361312866,0.0,0.019056733697652817,0.9279976487159729,0.11812674254179001,1.2281079292297363,0.0,0.019556868821382523,1.0993318557739258,0.10921917110681534,0.3304832387683456
adam,80,1.0647368431091309,0.0,0.023326950147747993,0.9279976487159729,0.11341220140457153,1.2306299209594727,0.0,0.023624777793884277,1.0993318557739258,0.1076732724905014,0.3281360578944371
adam,90,1.0647932291030884,0.0,0.025048747658729553,0.9279976487159729,0.11174681037664413,1.2316523790359497,0.0,0.025081472471356392,1.0993318557739258,0.1072390228509903,0.3274736979529658
adam,100,1.0647706985473633,0.0,0.024672849103808403,0.9279976487159729,0.11210019886493683,1.2312942743301392,0.0,0.024580396711826324,1.0993318557739258,0.10738202929496765,0.3276919731927648
adam,110,1.0647389888763428,0.0,0.02372319996356964,0.9279976487159729,0.11301815509796143,1.2306418418884277,0.0,0.02364226244390011,1.0993318557739258,0.1076677143573761,0.3281275885343628
adam,120,1.0647377967834473,0.0,0.023166678845882416,0.9279976487159729,0.11357349902391434,1.23030424118042,0.0,0.023142695426940918,1.0993318557739258,0.107829749584198,0.32837440458141376
adam,130,1.0647382736206055,0.0,0.02312438189983368,0.9279976487159729,0.11361625790596008,1.2303011417388916,0.0,0.023137934505939484,1.0993318557739258,0.10783133655786514,0.3283768209814224
adam,140,1.0647368431091309,0.0,0.02330278605222702,0.9279976487159729,0.11343646049499512,1.2304238080978394,0.0,0.02332075498998165,1.0993318557739258,0.10777118057012558,0.3282852122318725
adam,150,1.0647367238998413,0.0,0.023434914648532867,0.9279976487159729,0.11330418288707733,1.230505347251892,0.0,0.02344137616455555,1.0993318557739258,0.10773201286792755,0.32822555182058505
adam,160,1.0647368431091309,0.0,0.023451967164874077,0.9279976487159729,0.11328716576099396,1.2305105924606323,0.0,0.023449290543794632,1.0993318557739258,0.1077294647693634,0.3282216701702729
adam,170,1.0647367238998413,0.0,0.023413624614477158,0.9279976487159729,0.11332543939352036,1.2304837703704834,0.0,0.023409629240632057,1.0993318557739258,0.10774228721857071,0.32824120280453933
adam,180,1.0647367238998413,0.0,0.023384634405374527,0.9279976487159729,0.11335442960262299,1.2304658889770508,0.0,0.023383289575576782,1.0993318557739258,0.10775083303451538,0.3282542201320729
adam,190,1.0647367238998413,0.0,0.02338258922100067,0.9279976487159729,0.11335647106170654,1.2304660081863403,0.0,0.023383354768157005,1.0993318557739258,0.10775081068277359,0.3282541860856821
adam,200,1.0647367238998413,0.0,0.02339198812842369,0.9279976487159729,0.11334708333015442,1.230472445487976,0.0,0.02339288778603077,1.0993318557739258,0.10774771124124527,0.32824946495195584
adam,210,1.0647367238998413,0.0,0.02339770831167698,0.9279976487159729,0.11334134638309479,1.230475902557373,0.0,0.02339787967503071,1.0993318557739258,0.10774610191583633,0.3282470135672773
