step,total,pde,ic,bc,bc_left,bc_right,bc_left_rmse,bc_right_rmse,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_bc_left,val_bc_right,val_bc_left_rmse,val_bc_right_rmse,val_data,val_rmse_data,gen_gap_rmse_data
1,0.7386325597763062,0.027499252930283546,0.003004859434440732,0.5387827754020691,0.0,0.5387827754020691,0.0,0.7340182662010193,0.0,0.1693456470966339,0.41151627804575835,9.12608895928946,0.13599371910095215,0.5204996466636658,0.024263475090265274,0.006851589307188988,0.37672117352485657,0.0,0.37672117352485657,0.0,0.6137761473655701,0.11266342550516129,0.33565372857330406,-0.0758625494724543
2,0.41396450996398926,0.029889175668358803,0.024622352793812752,0.27327316999435425,0.0,0.27327316999435425,0.0,0.5227553844451904,0.0,0.08617982268333435,0.29356400100035146,4.513065119058193,0.4359779357910156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.3054560422897339,0.02817342057824135,0.07812470197677612,0.1500309407711029,0.0,0.1500309407711029,0.0,0.3873382806777954,0.0,0.04912697896361351,0.2216460668805416,1.2857582639592235,0.5839710235595703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.33620744943618774,0.022183701395988464,0.13807770609855652,0.12939445674419403,0.0,0.12939445674419403,0.0,0.35971441864967346,0.0,0.046551600098609924,0.2157581982187697,3.2325693554505697,0.7119643688201904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.3790889084339142,0.014826628379523754,0.17304614186286926,0.1408843696117401,0.0,0.1408843696117401,0.0,0.3753456771373749,0.0,0.05033176392316818,0.22434741791063292,4.671018894476762,0.845958948135376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.3742141127586365,0.00927689392119646,0.17458589375019073,0.14085036516189575,0.0,0.14085036516189575,0.0,0.3753003776073456,0.0,0.04950093850493431,0.22248806373586497,4.8601700304745945,0.9609527587890625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.33133038878440857,0.006607054267078638,0.1520756036043167,0.12736162543296814,0.0,0.12736162543296814,0.0,0.3568775951862335,0.0,0.045286089181900024,0.21280528466628837,4.085845204660085,1.0699467658996582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.2781073749065399,0.006794785615056753,0.1184624657034874,0.11407484859228134,0.0,0.11407484859228134,0.0,0.3377496898174286,0.0,0.0387752540409565,0.19691433173072115,2.7627025696118888,1.2049405574798584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.24153780937194824,0.009238732978701591,0.08417408168315887,0.11273972690105438,0.0,0.11273972690105438,0.0,0.33576735854148865,0.0,0.03538525849580765,0.18810969803762817,1.2657431841091045,1.3359344005584717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.23301395773887634,0.01282510906457901,0.055851664394140244,0.1265757530927658,0.0,0.1265757530927658,0.0,0.355774849653244,0.0,0.03776143118739128,0.19432300735474242,0.7673683950805763,1.4690868854522705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.24355259537696838,0.016137832775712013,0.03635930269956589,0.14916430413722992,0.0,0.14916430413722992,0.0,0.38621795177459717,0.0,0.041891153901815414,0.20467328575516497,1.861538567348338,1.5911238193511963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.26112914085388184,0.018099986016750336,0.025253236293792725,0.16893073916435242,0.0,0.16893073916435242,0.0,0.41101184487342834,0.0,0.04884518310427666,0.22100946383419118,2.7210644792953858,1.7100746631622314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,0.2643038332462311,0.01844446174800396,0.02067071758210659,0.17633993923664093,0.0,0.17633993923664093,0.0,0.41992849111557007,0.0,0.048848725855350494,0.22101747861956642,3.026288284294119,1.8320684432983398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.2531951665878296,0.01760248653590679,0.020845653489232063,0.16916799545288086,0.0,0.16916799545288086,0.0,0.4113003611564636,0.0,0.04557903856039047,0.21349247893167214,2.850824841698777,1.9441263675689697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
