step,total,pde,ic,bc,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_data,val_rmse_data,gen_gap_rmse_data
1,2.6874499320983887,0.008017334155738354,0.6920555830001831,0.7054372429847717,0.0,1.2819398641586304,1.132227832266382,36.39147943029513,0.15600299835205078,0.9815076589584351,0.011475755833089352,0.22477386891841888,0.2354789674282074,0.5097790956497192,0.7139881621215574,-0.41823967014482455
2,1.0407533645629883,0.01177397184073925,0.22477386891841888,0.2354789674282074,0.0,0.5687265396118164,0.7541396022036082,19.892029415233534,0.4609951972961426,nan,nan,nan,nan,nan,nan,nan
3,0.3656083345413208,0.016124438494443893,0.06079772487282753,0.07720679044723511,0.0,0.21147939562797546,0.4598688896065654,6.121060814640487,0.6170718669891357,nan,nan,nan,nan,nan,nan,nan
4,0.37673717737197876,0.02004975453019142,0.11107822507619858,0.13574865460395813,0.0,0.10986053198575974,0.33145215640535475,9.213574863755502,0.7670011520385742,nan,nan,nan,nan,nan,nan,nan
5,0.6014000177383423,0.022646814584732056,0.2138262242078781,0.24299173057079315,0.0,0.12193526327610016,0.34919230128412077,15.66420529133504,0.9190337657928467,nan,nan,nan,nan,nan,nan,nan
6,0.6967406272888184,0.023804636672139168,0.2559111416339874,0.2836476266384125,0.0,0.13337719440460205,0.3652084259770057,17.57951616440092,1.075993537902832,nan,nan,nan,nan,nan,nan,nan
7,0.6081363558769226,0.02381192520260811,0.22535769641399384,0.24700546264648438,0.0,0.11196128278970718,0.3346061607169049,16.198174780646436,1.2229936122894287,nan,nan,nan,nan,nan,nan,nan
8,0.4349377155303955,0.022990629076957703,0.15716153383255005,0.1702965646982193,0.0,0.08448898792266846,0.2906698951089852,12.609247155431508,1.3829920291900635,nan,nan,nan,nan,nan,nan,nan
9,0.28359454870224,0.02162995934486389,0.09039769321680069,0.09462891519069672,0.0,0.0769379585981369,0.27737692513642315,7.86546893706277,1.5179901123046875,nan,nan,nan,nan,nan,nan,nan
10,0.21135935187339783,0.019994525238871574,0.0499914176762104,0.04644431546330452,0.0,0.09492909908294678,0.3081056622052681,3.5267627418245606,1.6699914932250977,nan,nan,nan,nan,nan,nan,nan
11,0.2425827831029892,0.018321914598345757,0.04092169180512428,0.0317012183368206,0.0,0.1516379565000534,0.3894071859892334,4.118857966666549,1.8269968032836914,nan,nan,nan,nan,nan,nan,nan
12,0.31565675139427185,0.016807861626148224,0.0512034073472023,0.0388164147734642,0.0,0.20882907509803772,0.45697819980611515,7.316802359025877,1.9869921207427979,nan,nan,nan,nan,nan,nan,nan
13,0.3835026025772095,0.01558456290513277,0.0627802386879921,0.04950239136815071,0.0,0.25563541054725647,0.5056040056677324,9.437823397427959,2.156994342803955,nan,nan,nan,nan,nan,nan,nan
14,0.40097686648368835,0.014695139601826668,0.0634428933262825,0.05094065144658089,0.0,0.27189818024635315,0.52143856804647,10.155816540558021,2.311988115310669,nan,nan,nan,nan,nan,nan,nan
15,0.3657551109790802,0.014115122146904469,0.051430098712444305,0.040731798857450485,0.0,0.2594780921936035,0.509389921566577,9.518793444935177,2.4599905014038086,nan,nan,nan,nan,nan,nan,nan
16,0.28464242815971375,0.01378326304256916,0.03276537358760834,0.024445803835988045,0.0,0.2136479914188385,0.4622207172107699,7.732223652856159,2.5969948768615723,nan,nan,nan,nan,nan,nan,nan
17,0.20676060020923615,0.013612259179353714,0.016190368682146072,0.0105292908847332,0.0,0.16642868518829346,0.4079567197489134,5.361193518360708,2.7499873638153076,nan,nan,nan,nan,nan,nan,nan
18,0.15424016118049622,0.01352571602910757,0.008560793474316597,0.005603924859315157,0.0,0.12654973566532135,0.3557382965964184,2.6558006485354757,2.8959925174713135,nan,nan,nan,nan,nan,nan,nan
19,0.13307933509349823,0.013451923616230488,0.012328577227890491,0.011899331584572792,0.0,0.09539949893951416,0.3088680931069348,0.7082176891787834,3.0329926013946533,nan,nan,nan,nan,nan,nan,nan
20,0.1407548189163208,0.013327555730938911,0.025076834484934807,0.026775432750582695,0.0,0.07557498663663864,0.2749090515727677,2.6409936828628617,3.178987979888916,nan,nan,nan,nan,nan,nan,nan
21,0.16787388920783997,0.013108212500810623,0.04106710106134415,0.0443057119846344,0.0,0.0693928673863411,0.2634252595829434,4.450199532779963,3.326984405517578,nan,nan,nan,nan,nan,nan,nan
22,0.19498012959957123,0.012768981046974659,0.053883787244558334,0.057980552315711975,0.0,0.07034680992364883,0.26522973046709686,5.431541232767341,3.4799838066101074,nan,nan,nan,nan,nan,nan,nan
23,0.20996753871440887,0.012306621298193932,0.059291303157806396,0.06361043453216553,0.0,0.07475917041301727,0.2734212325570516,5.785694956318045,3.646986722946167,nan,nan,nan,nan,nan,nan,nan
24,0.20357851684093475,0.011736338026821613,0.056170035153627396,0.06023341417312622,0.0,0.0754387229681015,0.27466110567042706,5.393504713556756,3.7939846515655518,nan,nan,nan,nan,nan,nan,nan
25,0.18341198563575745,0.011090943589806557,0.04647732153534889,0.050046294927597046,0.0,0.0757974237203598,0.27531331918445173,4.573334866905461,3.942984104156494,nan,nan,nan,nan,nan,nan,nan
26,0.16488529741764069,0.01040564849972725,0.03365157172083855,0.03672466054558754,0.0,0.08410342037677765,0.2900058971413817,3.214222292598247,4.089982748031616,nan,nan,nan,nan,nan,nan,nan
27,0.14846745133399963,0.009730326943099499,0.021410562098026276,0.024165615439414978,0.0,0.09316094219684601,0.30522277470209525,1.8985070897411422,4.241981267929077,nan,nan,nan,nan,nan,nan,nan
28,0.1426505744457245,0.009111187420785427,0.012127065099775791,0.014791013672947884,0.0,0.10662131011486053,0.32652918723271973,1.3640629575254146,4.393987417221069,nan,nan,nan,nan,nan,nan,nan
29,0.1483255922794342,0.008580328896641731,0.006444863975048065,0.009173108264803886,0.0,0.12412728369235992,0.35231702157625017,2.1894254500040393,4.540994882583618,nan,nan,nan,nan,nan,nan,nan
30,0.15200795233249664,0.008165682666003704,0.0036578213330358267,0.006418940611183643,0.0,0.13376550376415253,0.36573966665396374,2.980990066878101,4.691981315612793,nan,nan,nan,nan,nan,nan,nan
31,0.15781062841415405,0.007873217575252056,0.0024700446520000696,0.005038220901042223,0.0,0.1424291431903839,0.37739785795680386,3.57645964096421,4.825981140136719,nan,nan,nan,nan,nan,nan,nan
32,0.15708056092262268,0.007704856805503368,0.0018909444333985448,0.0038562039844691753,0.0,0.1436285525560379,0.37898357821419904,3.752330469407041,4.97497820854187,nan,nan,nan,nan,nan,nan,nan
33,0.14910875260829926,0.007653182838112116,0.0017278480809181929,0.002590402727946639,0.0,0.13713732361793518,0.3703205687211219,3.4168102141902708,5.120980978012085,nan,nan,nan,nan,nan,nan,nan
34,0.13892440497875214,0.00770137645304203,0.0025198617950081825,0.0017949894536286592,0.0,0.12690818309783936,0.3562417481119238,2.6643427703921256,5.274984359741211,nan,nan,nan,nan,nan,nan,nan
35,0.128449484705925,0.007822195999324322,0.005051652435213327,0.0023576021194458008,0.0,0.1132180392742157,0.3364788838459491,1.701920412705634,5.4159767627716064,nan,nan,nan,nan,nan,nan,nan
36,0.12320832908153534,0.00798871275037527,0.009706847369670868,0.004836850333958864,0.0,0.10067591816186905,0.3172946866272252,0.6585125351740411,5.560984134674072,nan,nan,nan,nan,nan,nan,nan
37,0.12714868783950806,0.008167962543666363,0.016074705868959427,0.009023953229188919,0.0,0.09388206899166107,0.3064018097068963,0.6117497651966334,5.6929826736450195,nan,nan,nan,nan,nan,nan,nan
38,0.12706604599952698,0.008336817845702171,0.023010654374957085,0.013967661187052727,0.0,0.08175091445446014,0.28592116825177555,1.4961397887663739,5.839976072311401,nan,nan,nan,nan,nan,nan,nan
39,0.13206514716148376,0.008469494059681892,0.028878752142190933,0.018220821395516396,0.0,0.07649607956409454,0.27657924644501897,2.1686170259324142,6.002976894378662,nan,nan,nan,nan,nan,nan,nan
40,0.13882891833782196,0.008544426411390305,0.03226175159215927,0.020502969622612,0.0,0.07751976698637009,0.2784237184335596,2.5256777955703082,6.153976917266846,nan,nan,nan,nan,nan,nan,nan
41,0.1382346749305725,0.008553197607398033,0.0324564166367054,0.02019939012825489,0.0,0.07702567428350449,0.277534996502251,2.49921287795279,6.310056209564209,nan,nan,nan,nan,nan,nan,nan
42,0.13336041569709778,0.008501915261149406,0.029732955619692802,0.01759929209947586,0.0,0.07752625644207001,0.27843537211006436,2.171641130376052,6.459973335266113,nan,nan,nan,nan,nan,nan,nan
43,0.12879247963428497,0.008403316140174866,0.025068840011954308,0.013622427359223366,0.0,0.08169789612293243,0.2858284382683648,1.5961242806381999,6.601973533630371,nan,nan,nan,nan,nan,nan,nan
44,0.1258111596107483,0.00827615987509489,0.01974821649491787,0.00942149292677641,0.0,0.08836528658866882,0.29726299229582687,0.8955335471308872,6.750973224639893,nan,nan,nan,nan,nan,nan,nan
45,0.12072109431028366,0.008145204745233059,0.01488481368869543,0.005914219189435244,0.0,0.09177685528993607,0.3029469512801475,0.4679337559021075,6.9079790115356445,nan,nan,nan,nan,nan,nan,nan
46,0.11815688759088516,0.008027782663702965,0.011067039333283901,0.003491123439744115,0.0,0.09557094424962997,0.30914550659783163,0.7254579046705686,7.051973104476929,nan,nan,nan,nan,nan,nan,nan
47,0.12148164212703705,0.007939454168081284,0.008479731157422066,0.0021330327726900578,0.0,0.10292942821979523,0.3208261651109448,1.225105554141022,7.212969779968262,nan,nan,nan,nan,nan,nan,nan
48,0.11827805638313293,0.007895414717495441,0.007074115797877312,0.001587623031809926,0.0,0.1017208993434906,0.3189371401130489,1.4323859919794226,7.3569700717926025,nan,nan,nan,nan,nan,nan,nan
49,0.12484733760356903,0.007901554927229881,0.0066346945241093636,0.0015514862025156617,0.0,0.10875960439443588,0.32978721078058176,1.608881230863413,7.507980108261108,nan,nan,nan,nan,nan,nan,nan
50,0.12370285391807556,0.00796013418585062,0.007114663254469633,0.0019120823126286268,0.0,0.10671597719192505,0.32667411466463797,1.518216493716452,7.641976356506348,nan,nan,nan,nan,nan,nan,nan
51,0.11943548172712326,0.008068556897342205,0.008542383089661598,0.002721260767430067,0.0,0.10010328143835068,0.3163910261659624,1.1219268894148884,7.785967826843262,nan,nan,nan,nan,nan,nan,nan
52,0.11522534489631653,0.008209988474845886,0.010842340998351574,0.004035503603518009,0.0,0.09213751554489136,0.3035416207785867,0.5561327669337128,7.933967351913452,nan,nan,nan,nan,nan,nan,nan
53,0.11784767359495163,0.008354836143553257,0.013667119666934013,0.0057081119157373905,0.0,0.09011760354042053,0.30019594191197946,0.3565184340269377,8.083969831466675,nan,nan,nan,nan,nan,nan,nan
54,0.1159827932715416,0.00849307980388403,0.01665433496236801,0.007511758245527744,0.0,0.08332362025976181,0.288658310567636,0.6077660909703665,8.236968994140625,nan,nan,nan,nan,nan,nan,nan
55,0.11683720350265503,0.008601739071309566,0.019165586680173874,0.008982154540717602,0.0,0.08008772134780884,0.2829977408881718,0.9546259505533683,8.378968954086304,nan,nan,nan,nan,nan,nan,nan
56,0.1183881014585495,0.008665122091770172,0.02065122500061989,0.009696802124381065,0.0,0.07937495410442352,0.28173561028812727,1.0833234569274501,8.527973175048828,nan,nan,nan,nan,nan,nan,nan
57,0.11733272671699524,0.008684230037033558,0.020915096625685692,0.00951123982667923,0.0,0.07822215557098389,0.27968224035677325,1.1052631885425153,8.66596531867981,nan,nan,nan,nan,nan,nan,nan
58,0.11386827379465103,0.00865840632468462,0.020010128617286682,0.00850591529160738,0.0,0.0766938254237175,0.27693650070678205,0.973224489971937,8.805972576141357,nan,nan,nan,nan,nan,nan,nan
59,0.11325976997613907,0.008598982356488705,0.01828853227198124,0.006983011029660702,0.0,0.07938924431800842,0.28176097018218904,0.6480710952074831,8.929974794387817,nan,nan,nan,nan,nan,nan,nan
60,0.11353737860918045,0.008519530296325684,0.01626981608569622,0.005376407876610756,0.0,0.08337162435054779,0.28874144896524256,0.3257341062359509,9.081964254379272,nan,nan,nan,nan,nan,nan,nan
61,0.11050359159708023,0.008434651419520378,0.014425994828343391,0.0039948769845068455,0.0,0.08364807069301605,0.28921976193375176,0.17661482046469448,9.21996545791626,nan,nan,nan,nan,nan,nan,nan
62,0.11093473434448242,0.00836131814867258,0.013038568198680878,0.002997311530634761,0.0,0.08653753995895386,0.2941726363191414,0.4557921609988357,9.375962257385254,nan,nan,nan,nan,nan,nan,nan
63,0.114138662815094,0.008314890787005424,0.012280632741749287,0.002406713319942355,0.0,0.09113642573356628,0.30188810134479677,0.6918625526526323,9.5209641456604,nan,nan,nan,nan,nan,nan,nan
64,0.11276346445083618,0.00830590259283781,0.012192754074931145,0.0021600909531116486,0.0,0.09010472148656845,0.3001744850692151,0.7550747736880437,9.66396975517273,nan,nan,nan,nan,nan,nan,nan
