step,stage,total_loss,pde_loss,bc_loss,ic_loss,data_loss,grad_norm,learning_rate,time_elapsed_s
1,adam,1.5509040355682373,0.003838258096948266,1.3987361192703247,0.00347595801576972,0.1448536515235901,1.2345527793918443,0.001,0.11170244216918945
2,adam,1.5427848100662231,0.002999053569510579,1.3972128629684448,0.0022548665292561054,0.14031800627708435,1.1058098632574045,0.001,0.2513289451599121
3,adam,1.5356776714324951,0.002296538557857275,1.395772099494934,0.0013282598229125142,0.13628080487251282,0.9802695579453471,0.001,0.3809833526611328
4,adam,1.5295714139938354,0.0017449172446504235,1.394386649131775,0.0006930686649866402,0.13274677097797394,0.8603970656505363,0.001,0.5076446533203125
5,adam,1.5244170427322388,0.0013388021616265178,1.393032431602478,0.0003430916112847626,0.1297026425600052,0.7489602883078671,0.001,0.680185079574585
6,adam,1.5201390981674194,0.0010493595618754625,1.3916975259780884,0.00026439662906341255,0.12712779641151428,0.6483940266206026,0.001,0.796872615814209
7,adam,1.5166418552398682,0.0008491386543028057,1.390368938446045,0.00042859266977757215,0.12499526888132095,0.5613057120295768,0.001,0.9235348701477051
8,adam,1.5138072967529297,0.000717253249604255,1.3890310525894165,0.0007935396279208362,0.12326545268297195,0.4903815114851127,0.001,1.0521910190582275
9,adam,1.5115042924880981,0.000637001299764961,1.3876733779907227,0.0013084940146654844,0.12188536673784256,0.4376706357303667,0.001,1.1788544654846191
10,adam,1.5096015930175781,0.0005941660492680967,1.386292815208435,0.0019203921547159553,0.12079421430826187,0.4036217564710857,0.001,1.3174827098846436
11,adam,1.5079796314239502,0.0005767793627455831,1.3848927021026611,0.0025788794737309217,0.11993127316236496,0.3864025569442488,0.001,1.4321768283843994
12,adam,1.5065350532531738,0.0005752899451181293,1.3834788799285889,0.0032393333967775106,0.11924159526824951,0.3821631499509387,0.001,1.5528545379638672
13,adam,1.5051840543746948,0.0005825397092849016,1.3820582628250122,0.0038643127772957087,0.11867891252040863,0.3862207012025069,0.001,1.6635594367980957
14,adam,1.503859281539917,0.0005935212830081582,1.3806350231170654,0.004424169193953276,0.11820661276578903,0.39430629361318675,0.001,1.7902209758758545
15,adam,1.5025124549865723,0.0006050444208085537,1.3792126178741455,0.004897254519164562,0.11779753863811493,0.40320744847931517,0.001,1.9567756652832031
16,adam,1.5011096000671387,0.0006153840804472566,1.377791404724121,0.005269752815365791,0.11743312329053879,0.4108321107493456,0.001,2.0864298343658447
17,adam,1.499632477760315,0.0006239354843273759,1.376371145248413,0.005535156931728125,0.11710225045681,0.4160124713908852,0.001,2.2130918502807617
