step,stage,total_loss,pde_loss,bc_loss,ic_loss,data_loss,grad_norm,learning_rate,time_elapsed_s
1,adam,0.27266111969947815,0.003838258096948266,0.003659723326563835,0.0034759575501084328,0.26168718934059143,2.432758706967703,0.001,0.06401419639587402
2,adam,0.2549186944961548,0.00265458133071661,0.003021317534148693,0.0023837306071072817,0.24685907363891602,2.289454379810441,0.001,0.1430346965789795
3,adam,0.2382923811674118,0.0017221688758581877,0.0024447713512927294,0.0015252524754032493,0.23260018229484558,2.1465330730552985,0.001,0.20904946327209473
4,adam,0.22279952466487885,0.0010401898762211204,0.0019304221495985985,0.0008999552810564637,0.2189289629459381,2.004225319137227,0.001,0.27306532859802246
5,adam,0.20845231413841248,0.0006058782455511391,0.0014783156802877784,0.0005060508265160024,0.20586207509040833,1.8627970784371637,0.001,0.34008240699768066
6,adam,0.1952575147151947,0.00041415615123696625,0.0010882484493777156,0.0003405201423447579,0.1934145838022232,1.7225327920225315,0.001,0.40509796142578125
7,adam,0.18321546912193298,0.0004572224570438266,0.0007598574156872928,0.00039908522740006447,0.18159930408000946,1.583735544871926,0.001,0.4661123752593994
8,adam,0.1723196804523468,0.0007242606952786446,0.0004927115514874458,0.0006761462427675724,0.17042656242847443,1.4467377946736568,0.001,0.5331287384033203
9,adam,0.1625559777021408,0.0012014387175440788,0.0002863347763195634,0.0011645861668512225,0.1599036157131195,1.3118991609636204,0.001,0.5941436290740967
10,adam,0.15390248596668243,0.0018722501117736101,0.00014006334822624922,0.001855400507338345,0.15003477036952972,1.179599539022619,0.001,0.6511576175689697
11,adam,0.14632898569107056,0.0027180493343621492,5.271960253594443e-05,0.0027372525073587894,0.1408209651708603,1.0502542517485747,0.001,0.7201745510101318
12,adam,0.13979676365852356,0.003718484891578555,2.2246927983360365e-05,0.0037961178459227085,0.13225992023944855,0.9243122301632392,0.001,0.7761878967285156
13,adam,0.13425831496715546,0.004851697012782097,4.545926276477985e-05,0.005015131086111069,0.12434603273868561,0.8022708582341773,0.001,0.8422038555145264
14,adam,0.12965713441371918,0.00609435373917222,0.00011796953913290054,0.006374643184244633,0.11707016080617905,0.6846870385658382,0.001,0.902219295501709
