step,stage,total_loss,pde_loss,bc_loss,ic_loss,data_loss,grad_norm,learning_rate,time_elapsed_s
1,adam,1.4623233079910278,0.003838258096948266,1.1933224201202393,0.00347595801576972,0.2616867125034332,4.7949239603329925,0.001,0.15774893760681152
2,adam,1.4305311441421509,0.003180673811584711,1.175306797027588,0.00236825761385262,0.24967537820339203,4.694142958433773,0.001,0.6560492515563965
3,adam,1.3995168209075928,0.002641852479428053,1.1569125652313232,0.0014992712531238794,0.23846322298049927,4.596335178314495,0.001,0.79168701171875
4,adam,1.3692796230316162,0.0021706297993659973,1.1385732889175415,0.0008501361007802188,0.2276856005191803,4.500061733155513,0.001,0.9303181171417236
5,adam,1.3398197889328003,0.0017593964003026485,1.120303750038147,0.0004166328872088343,0.21733999252319336,4.405486184036522,0.001,1.0470058917999268
6,adam,1.31112802028656,0.0014050567988306284,1.1020742654800415,0.00019025689107365906,0.2074584662914276,4.312917885805322,0.001,1.1656897068023682
7,adam,1.2831860780715942,0.0011057365918532014,1.0838605165481567,0.00015697594790253788,0.198062926530838,4.22260299823936,0.001,1.2893588542938232
8,adam,1.255974292755127,0.0008601919398643076,1.0656696557998657,0.00030047501786611974,0.18914401531219482,4.134588564079493,0.001,1.4020576477050781
9,adam,1.2294775247573853,0.0006670277216471732,1.0475306510925293,0.0006063472828827798,0.18067345023155212,4.048774222132363,0.001,1.514756679534912
10,adam,1.203683614730835,0.0005241839680820704,1.0294725894927979,0.0010629048338159919,0.17262403666973114,3.9650724104167647,0.001,1.626460313796997
11,adam,1.178581714630127,0.00042885931907221675,1.0115166902542114,0.0016600270755589008,0.16497613489627838,3.883434365457924,0.001,1.7501294612884521
12,adam,1.1541589498519897,0.0003776377998292446,0.9936772584915161,0.00238808523863554,0.15771599113941193,3.803847512793385,0.001,1.861830711364746
13,adam,1.1304012537002563,0.000366663298336789,0.9759642481803894,0.0032373485155403614,0.15083304047584534,3.7263210865605427,0.001,1.97153902053833
14,adam,1.1072927713394165,0.0003918184957001358,0.9583854675292969,0.004197745583951473,0.14431779086589813,3.650875082661141,0.001,2.084237575531006
15,adam,1.0848160982131958,0.0004488850536290556,0.9409477710723877,0.0052587855607271194,0.13816069066524506,3.577521722844811,0.001,2.196937084197998
16,adam,1.0629525184631348,0.000533675542101264,0.9236576557159424,0.006409634370356798,0.13235151767730713,3.506271013774876,0.001,2.358506441116333
17,adam,1.0416827201843262,0.0006421349244192243,0.906522274017334,0.007639200892299414,0.12687914073467255,3.437119259341696,0.001,2.5140905380249023
18,adam,1.0209863185882568,0.0007704095332883298,0.8895479440689087,0.008936279453337193,0.1217317208647728,3.3700630483837655,0.001,2.6457395553588867
19,adam,1.0008431673049927,0.0009148941026069224,0.8727418780326843,0.01028970256447792,0.11689663678407669,3.3050813645711385,0.001,2.76342511177063
20,adam,0.9812322854995728,0.0010722556617110968,0.856110692024231,0.011688482947647572,0.1123608648777008,3.242146013623215,0.001,2.876124620437622
21,adam,0.9621334671974182,0.0012394437799230218,0.8396610021591187,0.013121948577463627,0.10811106115579605,3.181222151096766,0.001,2.9868295192718506
22,adam,0.9435261487960815,0.001413691439665854,0.8233988881111145,0.01457986794412136,0.1041337326169014,3.122266956778792,0.001,3.116482973098755
23,adam,0.9253907799720764,0.0015925122424960136,0.807330310344696,0.016052545979619026,0.1004154235124588,3.0652269077443055,0.001,3.2271883487701416
24,adam,0.9077080488204956,0.0017736908048391342,0.7914606332778931,0.01753092184662819,0.09694278985261917,3.0100491612694578,0.001,3.34088397026062
25,adam,0.8904594779014587,0.0019552737940102816,0.7757948040962219,0.019006608054041862,0.09370280057191849,2.9566777895555916,0.001,3.488490343093872
26,adam,0.8736274242401123,0.0021355608478188515,0.7603371739387512,0.020471936091780663,0.09068275988101959,2.9050438061877752,0.001,3.603184700012207
27,adam,0.8571950793266296,0.0023131021298468113,0.7450916767120361,0.02191999927163124,0.08787030726671219,2.855083689133416,0.001,3.7128913402557373
28,adam,0.84114670753479,0.0024866664316505194,0.7300618290901184,0.023344596847891808,0.08525360375642776,2.80672919742799,0.001,3.850524425506592
29,adam,0.8254671096801758,0.002655250485986471,0.7152502536773682,0.024740295484662056,0.0828213319182396,2.7599134255579543,0.001,3.9632229804992676
30,adam,0.8101423382759094,0.002818071050569415,0.7006592750549316,0.026102403178811073,0.08056256920099258,2.7145658034057214,0.001,4.079911947250366
31,adam,0.7951594591140747,0.0029745311476290226,0.686290979385376,0.02742691896855831,0.07846699655056,2.670618134730195,0.001,4.202584505081177
32,adam,0.7805062532424927,0.003124222392216325,0.6721466779708862,0.028710538521409035,0.07652479410171509,2.628002295743922,0.001,4.319273471832275
33,adam,0.7661716341972351,0.0032669182401150465,0.6582275032997131,0.02995062991976738,0.07472660392522812,2.5866508957503784,0.001,4.447930812835693
34,adam,0.7521452903747559,0.0034025420900434256,0.6445339918136597,0.031145190820097923,0.07306354492902756,2.5465027515264036,0.001,4.565615653991699
35,adam,0.7384176850318909,0.003531164024025202,0.6310665011405945,0.03229280933737755,0.07152719795703888,2.5074912642649405,0.001,4.677317142486572
36,adam,0.7249801158905029,0.0036529917269945145,0.617824912071228,0.03339267149567604,0.07010956853628159,2.4695600075139663,0.001,4.7969982624053955
37,adam,0.7118248343467712,0.0037683374248445034,0.6048089861869812,0.03444443643093109,0.06880304962396622,2.4326473608559995,0.001,4.904710531234741
38,adam,0.6989445090293884,0.0038776120636612177,0.592018187046051,0.035448260605335236,0.06760045140981674,2.3967010475920207,0.001,5.017409563064575
39,adam,0.686332643032074,0.003981317859143019,0.5794516801834106,0.03640475869178772,0.066494882106781,2.3616675703342236,0.001,5.147063970565796
40,adam,0.6739830374717712,0.004080020822584629,0.5671083331108093,0.03731489181518555,0.0654798075556755,2.3274963709756573,0.001,5.2687389850616455
41,adam,0.6618902087211609,0.004174338653683662,0.5549868941307068,0.03817998245358467,0.06454895436763763,2.2941404339136047,0.001,5.393406867980957
42,adam,0.6500487923622131,0.004264933057129383,0.5430858135223389,0.03900165110826492,0.06369638442993164,2.2615543589401463,0.001,5.527049779891968
43,adam,0.6384543180465698,0.0043524885550141335,0.5314037203788757,0.03978175297379494,0.06291636824607849,2.2296976928881427,0.001,5.638752222061157
44,adam,0.6271021366119385,0.004437710158526897,0.5199386477470398,0.04052235931158066,0.062203437089920044,2.1985290930547383,0.001,5.749485492706299
45,adam,0.61598801612854,0.004521300550550222,0.5086886882781982,0.041225675493478775,0.061552345752716064,2.16800889265691,0.001,5.8631532192230225
46,adam,0.6051079630851746,0.0046039666049182415,0.4976519048213959,0.04189406707882881,0.060958053916692734,2.138102834477938,0.001,5.9758522510528564
47,adam,0.5944581627845764,0.004686389118432999,0.486826092004776,0.042529914528131485,0.06041575223207474,2.1087754031410286,0.001,6.103512287139893
48,adam,0.58403480052948,0.004769245162606239,0.47620901465415955,0.04313573241233826,0.059920765459537506,2.079997156979002,0.001,6.22917628288269
