experiment_id,date_time_utc,commit_hash,python_version,torch_version,cuda_available,device,random_seed,case_id,data_paths,normalisation_type,notes,num_hidden_layers,neurons_per_layer,activation,weight_init,input_dim,output_dim,num_trainable_params,lambda_total,lambda_pde,lambda_bc,lambda_ic,lambda_data,n_collocation,n_bc,n_ic,n_data,collocation_sampler,domain_bounds,optimiser_stage1,adam_lr,adam_epochs,optimiser_stage2,lbfgs_max_iter,lbfgs_history_size,lbfgs_line_search_fn,batch_size,wall_clock_time_s,convergence_flag,final_total_loss,final_pde_loss,final_bc_loss,final_ic_loss,final_data_loss,final_grad_norm,l2_error_temperature,max_abs_error,relative_l2_error,r2_score
20260216T153205Z_const_5000_596ff96_19ff91,2026-02-16T15:32:05.004343+00:00,596ff96,3.10.9,1.12.1,False,cpu,42,const_5000,manifest=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\manifest.csv; mat=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\raw\const_5000.mat; meta=C:\Users\wscm13\OneDrive - Loughborough University\IDP\Individual Project\heatflux\data\meta\const_5000_meta.mat,"nondimensional (xi=x/L, tau=alpha*t/L^2, theta=(T-T_left)/dT)",flux_mode=learned,1,20,tanh,xavier_uniform,2,1,81,,1.0,1.0,1.0,1.0,50000,1001,51,40840,uniform,"xi:[0,1], tau:[0,1.32]",adam,0.001,,lbfgs,500,50,strong_wolfe,full,84.20505857467651,ok,0.0010837962618097663,0.00017085329454857856,1.1563286079763202e-06,0.0005757460021413863,0.00033576044370420277,,,,,
20260216T161524Z_const_5000_775133c_437d6a,2026-02-16T16:15:24.247973+00:00,775133c,3.10.9,1.12.1,False,cpu,42,const_5000,manifest=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\manifest.csv; mat=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\raw\const_5000.mat; meta=C:\Users\wscm13\OneDrive - Loughborough University\IDP\Individual Project\heatflux\data\meta\const_5000_meta.mat,"nondimensional (xi=x/L, tau=alpha*t/L^2, theta=(T-T_left)/dT)",flux_mode=known,1,20,tanh,xavier_uniform,2,1,81,,1.0,1.0,1.0,1.0,50000,1001,51,40840,uniform,"xi:[0,1], tau:[0,1.32]",adam,0.001,,lbfgs,500,50,strong_wolfe,full,139.2032072544098,ok,0.002162038115784526,0.0003492595860734582,0.000325212866300717,0.0014506279258057475,3.693758844747208e-05,,,,,
20260309T145841Z_sine_A10000_T50_unknown_7eaa2a,2026-03-09T14:58:41.916964+00:00,unknown,3.10.9,1.12.1,False,cpu,42,sine_A10000_T50,manifest=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\manifest.csv; mat=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\raw\sine_A10000_T50.mat; meta=C:\Users\wscm13\OneDrive - Loughborough University\IDP\Individual Project\heatflux\data\meta\sine_A10000_T50_meta.mat,"nondimensional (xi=x/L, tau=alpha*t/L^2, theta=(T-T_left)/dT)",flux_mode=known,1,20,tanh,xavier_uniform,2,1,81,,1.0,1.0,1.0,1.0,50000,1001,51,40840,uniform,"xi:[0,1], tau:[0,1.32]",adam,0.001,,lbfgs,500,50,strong_wolfe,full,157.6516571044922,ok,0.0020851597655564547,0.001230571884661913,0.0004317722050473094,0.00014826531696598977,0.0002745503734331578,,,,,
20260309T145841Z_sine_A10000_T50_unknown_7eaa2a,2026-03-09T14:58:41.916964+00:00,unknown,3.10.9,1.12.1,False,cpu,42,sine_A10000_T50,manifest=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\manifest.csv; mat=c:\Users\wscm13\OneDrive - Loughborough University\Part C\IDP\Individual Project\PINN\data\raw\sine_A10000_T50.mat; meta=C:\Users\wscm13\OneDrive - Loughborough University\IDP\Individual Project\heatflux\data\meta\sine_A10000_T50_meta.mat,"nondimensional (xi=x/L, tau=alpha*t/L^2, theta=(T-T_left)/dT)",flux_mode=known,1,20,tanh,xavier_uniform,2,1,81,,1.0,1.0,1.0,1.0,50000,1001,51,40840,uniform,"xi:[0,1], tau:[0,1.32]",adam,0.001,,lbfgs,500,50,strong_wolfe,full,281.6605176925659,ok,0.0020851597655564547,0.001230571884661913,0.0004317722050473094,0.00014826531696598977,0.0002745503734331578,,,,,
